Remove 4|"Complete a function that takes every element in a list that is not the integer 4 and returns them in a new list.+-=Example:+-=>>> remove_4([4, 5, 3, 7, ""hi"", ""why"", 4, 4, 9, 7, 14, 3, 4, 5, 3])+-=[5, 3, 7, ""hi"", ""why"", 9, 7, 14, 3, 5, 3]"|def remove_4(list):|test_remove_4
Spectral Norm|Complete a function that returns the square root of the sum of the squares of an array of integers (this is the spectral norm of a vector!). You can assume the input vector will never be empty.+-=Example:+-=>>> norm([3, 4])+-=5+-=>>> norm([6, 8, 10, 10, 10])+-=20|def norm(integer_list):|test_norm
Heads vs Tails|"The function heads_vs_tails returns ""Heads wins!"" if the number of ""heads"" is greater than the number of ""tails"" in a list and vice versa. If they are the same, ""Tie!"" is returned. The input can only be a list with the string values ""heads"" and ""tails"" and the function should return ""Error"" otherwise. Complete this function.+-=Examples:+-=>>> heads_vs_tails([""heads"", ""tails"", ""heads"", ""heads"", ""tails""])+-=""Heads wins!"""|"def heads_vs_tails(flips):+-=    heads = 0+-=    tails = 0+-=    for flip in flips:+-=        if ____:+-=            return ""Error""+-=        elif ____:+-=            heads += 1+-=        elif ____:+-=            tails += 1+-=    if ______:+-=        return ""Heads wins!""+-=    elif ______:+-=        return ""Tails wins!""+-=    else:+-=        return ""Tie!"""|test_heads_vs_tails
John C-nut|"John C-nut wants to know if the code they are looking at was written in C or not. He (erroneously) believes the best way to tell if code is written in C is to see if a string containing all the code contains a semicolon(;) (he only knows C and Python, and isn""t very smart). Write a function that returns True if the string variable code contains a semicolon, and False otherwise."|def check_C(code):|test_check_C
Stutter|"Complete the code to return the word but with each character appearing twice in place. For example, if ARG is ""Ahoy!"", return ""AAhhooyy!!""."|def stutter(arg):|test_stutter
John P-nut|"John P-nut has gotten annoyed at John C-nut""s focus on C code. He now intends to write a function that does the opposite - check if code is Python instead of C! Thankfully, John C-nut""s limited programming knowledge means he only compares Python and C code to each other, nothing else. He also isn""t very good at doing so. Write a function for John P-nut, which decides code is python if it doesn""t contain any semicolons(;) or brackets({,}). You are allowed to use the functions from previous functions."|def check_P(code):|test_check_P
Poke Bowl|I love poke bowls. It's like sushi, but more filling since it's in a bowl and not rolled up. I'm not writing this because I am hungry, of course not. Write a function that takes in a rating out of 10 and returns 'poke bowl' if the rating is from 8 to 10, 'sushi' if the rating is between 5 and 8, and 'overcooked shrimp' if the rating is below 5 and above or equal to 0. If the rating is any other numerical value, return 'anchovy and pineapple on fried oranges'.|def seafood(rating):|test_seafood
Anagrams|"Find if 2 strings are anagrams of each other (An anagram is a word that can be formed by rearranging the letters of another word).+-=Example:+-=>>> anagram(""cat"", ""act"")+-=True+-=>>> anagram(""cat"", ""dog"")+-=False"|def anagram(a, b):+-=    return|test_anagram
Palindromes|"Write a function to find if a string is a palindrome (read the same way backward and forward).+-=Example:+-=>>> palindrome(""racecar"")+-=True+-=>>> palindrome(""cat"")+-=False"|def palindrome(a):+-=    return|test_palindrome
Uppercase Counter|Write a function to count the number of uppercase letters in a string.+-=Example:+-=>>> upper_count('kaWWdRuuY')+-=4|def upper_count(a):|test_upper_count
Unique Character Counter|Write a function that returns a dictionary with the number of occurrences of each unique character in a string.+-=Example:+-=>>> char_count('dividend')+-={'d': 3, 'i': 2, 'v': 1, 'e': 1, 'n': 1}|def char_count(a):+-=    dict = {}+-=    ...+-=    return dict|test_char_count
Longest String Finder|Write a function that finds the longest string in a list of strings.+-=Example:+-=>>> longest_string(['survivor', 'cat', 'assumption', 'engineering'])+-='engineering'|def longest_string(a):|test_longest_string
Fibonacci|Write a function to find the nth term of a Fibonacci series, where the first three terms are 0, 1, 1.+-=Example:+-=>>> fibonacci(7):+-=8|def fibonacci(n):+-=    if n == 1:+-=        return 0+-=    elif n == 2 or n == 3:+-=        return 1+-=    else:|test_fibonacci
The Collatz Conjecture|Write a Python program that uses a while loop to apply the following steps to any positive integer n provided by the user:+-=If n is even, divide it by 2.+-=+-=If n is odd, multiply it by 3 and then add 1.+-=+-=Repeat these steps until n becomes 1. This is called the Collatz Conjecture. Your function should return the number of steps it takes for the number to reduce to 1 the first time.+-=Example:+-=>>> collatz(6)+-=8 #6 -> 3 -> 10 -> 5 -> 16 -> 8 -> 4 -> 2 -> 1|def collatz(n):|test_collatz
Left rotation on list|"Write a function that performs a ""left rotation"" on a list of integers. A single left rotation operation moves the first element of the list to the end and shifts all other elements to the left by one position.+-=Example:+-=>>> left_rotation([1,2,3,4,5])+-=[2, 3, 4, 5, 1]"|def left_rotation(lst):|test_left_rotation
Greatest Common Divisor|Write a function to find the greatest common divisor of two numbers.+-=Example:+-=>>> gcd(30, 105)+-=15|def gcd(a, b):|test_gcd
Least Common Multiple|Write a function to find the least common multiple of two numbers.+-=>>> lcm(30, 105)+-=210|def lcm(a, b):|test_lcm
Dot Product|"Write a function that returns the dot product of two vectors (two integer lists of the same size). The dot product is when each value in a vector is multiplied with its corresponding value in another vector of the same size, then those products are summed together. Return ""Bad Input"" when the inputs are of different sizes.+-=Example:+-=>>> dot([5, 2, 5, 3, 6, 6], [3, 6, 7, 3, 9, 2])+-=137+-=(5*3 + 2*6 + 5*7 + 3*3 + 6*9 + 6*2 = 15 + 12 + 35 + 9 + 54 + 12 = 137)"|def dot(vec_1, vec_2):|test_dot
Digit Multiple|Write a function that takes in an integer and returns the multiple of its digits.|def digit_multiple(num):|test_digit_multiple
